document_id,source_file,source_type,document_character_count,chunks_created,chunks_rejected,minimum_chunk_length,maximum_chunk_length
database-hospital-helpdesk-db-0001,database/hospital_helpdesk.db,sqlite,149,1,0,149,149
database-hospital-helpdesk-db-0002,database/hospital_helpdesk.db,sqlite,146,1,0,146,146
database-hospital-helpdesk-db-0003,database/hospital_helpdesk.db,sqlite,142,1,0,142,142
database-hospital-helpdesk-db-0004,database/hospital_helpdesk.db,sqlite,143,1,0,143,143
database-hospital-helpdesk-db-0005,database/hospital_helpdesk.db,sqlite,145,1,0,145,145
database-hospital-helpdesk-db-0006,database/hospital_helpdesk.db,sqlite,143,1,0,143,143
database-hospital-helpdesk-db-0007,database/hospital_helpdesk.db,sqlite,148,1,0,148,148
database-hospital-helpdesk-db-0008,database/hospital_helpdesk.db,sqlite,149,1,0,149,149
database-hospital-helpdesk-db-0009,database/hospital_helpdesk.db,sqlite,144,1,0,144,144
database-hospital-helpdesk-db-0010,database/hospital_helpdesk.db,sqlite,155,1,0,155,155
database-hospital-helpdesk-db-0011,database/hospital_helpdesk.db,sqlite,149,1,0,149,149
database-hospital-helpdesk-db-0012,database/hospital_helpdesk.db,sqlite,154,1,0,154,154
database-hospital-helpdesk-db-0013,database/hospital_helpdesk.db,sqlite,137,1,0,137,137
database-hospital-helpdesk-db-0014,database/hospital_helpdesk.db,sqlite,140,1,0,140,140
database-hospital-helpdesk-db-0015,database/hospital_helpdesk.db,sqlite,141,1,0,141,141
database-hospital-helpdesk-db-0016,database/hospital_helpdesk.db,sqlite,142,1,0,142,142
database-hospital-helpdesk-db-0017,database/hospital_helpdesk.db,sqlite,143,1,0,143,143
database-hospital-helpdesk-db-0018,database/hospital_helpdesk.db,sqlite,148,1,0,148,148
database-hospital-helpdesk-db-0019,database/hospital_helpdesk.db,sqlite,144,1,0,144,144
database-hospital-helpdesk-db-0020,database/hospital_helpdesk.db,sqlite,138,1,0,138,138
database-hospital-helpdesk-db-0021,database/hospital_helpdesk.db,sqlite,140,1,0,140,140
database-hospital-helpdesk-db-0022,database/hospital_helpdesk.db,sqlite,141,1,0,141,141
database-hospital-helpdesk-db-0023,database/hospital_helpdesk.db,sqlite,120,1,0,120,120
database-hospital-helpdesk-db-0024,database/hospital_helpdesk.db,sqlite,133,1,0,133,133
database-hospital-helpdesk-db-0025,database/hospital_helpdesk.db,sqlite,146,1,0,146,146
database-schema-sql-0001,database/schema.sql,sql,365,1,0,365,365
faqs-hospital-faqs-json-0001,faqs/hospital_faqs.json,json,267,1,0,267,267
faqs-hospital-faqs-json-0002,faqs/hospital_faqs.json,json,281,1,0,281,281
faqs-hospital-faqs-json-0003,faqs/hospital_faqs.json,json,294,1,0,294,294
faqs-hospital-faqs-json-0004,faqs/hospital_faqs.json,json,244,1,0,244,244
faqs-hospital-faqs-json-0005,faqs/hospital_faqs.json,json,259,1,0,259,259
faqs-hospital-faqs-json-0006,faqs/hospital_faqs.json,json,247,1,0,247,247
faqs-hospital-faqs-json-0007,faqs/hospital_faqs.json,json,282,1,0,282,282
faqs-hospital-faqs-json-0008,faqs/hospital_faqs.json,json,262,1,0,262,262
faqs-hospital-faqs-json-0009,faqs/hospital_faqs.json,json,261,1,0,261,261
faqs-hospital-faqs-json-0010,faqs/hospital_faqs.json,json,257,1,0,257,257
faqs-hospital-faqs-json-0011,faqs/hospital_faqs.json,json,264,1,0,264,264
faqs-hospital-faqs-json-0012,faqs/hospital_faqs.json,json,270,1,0,270,270
faqs-hospital-faqs-json-0013,faqs/hospital_faqs.json,json,231,1,0,231,231
faqs-hospital-faqs-json-0014,faqs/hospital_faqs.json,json,257,1,0,257,257
faqs-hospital-faqs-json-0015,faqs/hospital_faqs.json,json,257,1,0,257,257
faqs-hospital-faqs-json-0016,faqs/hospital_faqs.json,json,227,1,0,227,227
faqs-hospital-faqs-json-0017,faqs/hospital_faqs.json,json,245,1,0,245,245
faqs-hospital-faqs-json-0018,faqs/hospital_faqs.json,json,252,1,0,252,252
