request_number,valid,question_characters,error_count,warning_count,rejected_fields
1,True,30,0,1,category;expected_source;safety_class
2,True,35,0,1,category;expected_source;safety_class
3,True,30,0,1,category;expected_source;safety_class
4,True,39,0,1,category;expected_source;safety_class
5,True,28,0,1,category;expected_source;safety_class
6,True,43,0,1,category;expected_source;safety_class
7,True,47,0,1,category;expected_source;safety_class
8,True,24,0,1,category;expected_source;safety_class
9,True,48,0,1,category;expected_source;safety_class
10,True,45,0,1,category;expected_source;safety_class
11,True,45,0,1,category;expected_source;safety_class
12,True,32,0,1,category;expected_source;safety_class
13,False,1,1,1,case
14,False,1001,1,1,case
15,False,21,1,1,case
16,False,20,1,1,case
17,False,19,1,1,case
18,True,17,0,1,case;unknown
